"","ccode","year","country","rawprice","lprice","rev_resrevgdp","rev_resrevrev","wtprice","class_income","class_reg","class_subreg","class_opec","class_hipc","class_ldc","class_reg2","class_dev"
"1","#N/A",1990,"Korea North",0.256091081762249,0.228004582743384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","#N/A",1991,"Korea North",0.231895111100365,0.2085537243931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","#N/A",1992,"Korea North",0.222909836824106,0.201233131030787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","#N/A",1993,"Korea North",0.19117708407046,0.174941964518314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","#N/A",1994,"Korea North",0.192837221927785,0.176334689487701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","#N/A",1995,"Korea North",0.198042989820927,0.180689383707955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","#N/A",1996,"Korea North",0.227976704645371,0.205367859386523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","#N/A",1997,"Korea North",0.220462563417073,0.1992299372277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","#N/A",1998,"Korea North",0.172296316311141,0.158964488815814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","#N/A",1999,"Korea North",0.207051660824794,0.1881807422142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","#N/A",2000,"Korea North",0.289022069625953,0.25388384532014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","#N/A",2001,"Korea North",0.278726228581844,0.245864448536596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","#N/A",2002,"Korea North",0.276078058177229,0.243791357171623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","#N/A",2003,"Korea North",0.305352405472479,0.266473046827388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","#N/A",2004,"Korea North",0.407537481783654,0.341841710718808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","#N/A",2005,"Korea North",0.512573086797845,0.413812231605211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","#N/A",2006,"Korea North",0.603521141625479,0.472201924738604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","#N/A",2007,"Korea North",0.722064979730076,0.543524140328478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","#N/A",2008,"Korea North",0.872631357065736,0.627344584584704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","#N/A",2009,"Korea North",0.570546879117842,0.451423889355488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","#N/A",2010,"Korea North",0.695669832116842,0.52807784395877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","#N/A",2011,"Korea North",0.824684186711092,0.601406923682373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","#N/A",2012,"Korea North",0.785008460022856,0.579423154728974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","AFG",1990,"Afghanistan",0.263866311247532,0.234175523712912,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"25","AFG",1991,"Afghanistan",0.249848578603606,0.223022406859402,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"26","AFG",1992,"Afghanistan",0.241313444025006,0.216170048082102,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"27","AFG",1993,"Afghanistan",0.201138553271832,0.18326990136625,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"28","AFG",1994,"Afghanistan",0.203114605456467,0.184913698836092,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"29","AFG",1995,"Afghanistan",0.204318009959902,0.185913439884677,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"30","AFG",1996,"Afghanistan",0.235723277340437,0.211656448322471,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"31","AFG",1997,"Afghanistan",0.236704611627886,0.212450270737564,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"32","AFG",1998,"Afghanistan",0.204386260851143,0.185970110097028,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"33","AFG",1999,"Afghanistan",0.235361678051517,0.211363783927657,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"34","AFG",2000,"Afghanistan",0.298997070070459,0.261592482158944,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"35","AFG",2001,"Afghanistan",0.29302802600812,0.256986774735111,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"36","AFG",2002,"Afghanistan",0.288061868226911,0.253138660866214,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"37","AFG",2003,"Afghanistan",0.298138418634213,0.260931252530173,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"38","AFG",2004,"Afghanistan",0.367194305674201,0.312760687856066,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"39","AFG",2005,"Afghanistan",0.434110173221076,0.360544568529609,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"40","AFG",2006,"Afghanistan",0.487147914973345,0.396860134604533,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"41","AFG",2007,"Afghanistan",0.620219900419151,0.482561881031793,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
"42","AFG",2008,"Afghanistan",1.12010725846542,0.75146668101987,NA,NA,NA,"Low income","Asia","Southern Asia",0,1,1,"South Asia","Developing"
